name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type
04 28 2017 slice 2 cell 7,0.0,-21.737772971391678,107.18578728586934,68.73396225273609,-42.70273074507713,0.4799999999999943,97,157.38703116774565,-72.95278296828269,12.440000000000007,159.7058823529412,1.0243041669471475,6.5824203463171695,LBC
10 19 2016 slice 2 cell 4,0.0,-20.374998450279236,139.64497041420125,87.93750032782555,-39.21874985098839,0.31999999999998696,115,101.64706157147883,-74.961872549057,10.120000000000005,338.0,1.055420158917918,6.642216096702244,LBC
10 31 2016 slice 2 cell 7,0.0,-19.01736482977867,104.1487983561156,74.13661479949951,-41.318003088235855,0.5199999999999927,78,227.7568504661321,-73.18262166947127,24.760000000000005,60.0,1.0635456599798736,7.585977316144701,LBC
01 14 2017 slice 1 cell 7,0.0,-18.24931800365448,111.66757086667559,68.19269619882107,-40.68896174430847,0.5199999999999927,75,224.20534048974514,-68.93644682168961,27.840000000000003,40.0,1.088842773720342,11.267126791387541,LBC
08 02 2017 slice 2 cell 2,0.0,-22.478822618722916,119.84546165884198,56.14783614873886,-31.45229071378708,0.5600000000000049,76,158.0444498062135,-69.83100884854792,154.64000000000001,190.19512195121948,1.0530376056822153,10.663183896276143,LBC
07 19 2017 slice 4 cell 6,0.0,-20.8379365503788,109.05483297743675,61.696529388427734,-43.77220943570137,0.43999999999999595,126,151.62730570137498,-73.55761284023524,13.120000000000006,145.30612244897958,1.1173886536087454,8.30540267279033,LBC
05 16 2017 slice 2 cell 7,0.0,-18.580015748739243,111.7799160032595,58.93448181450367,-37.90411353111267,0.43999999999999595,133,107.87486775219443,-74.50375490695238,11.800000000000004,280.0,1.062547514764098,5.551888419602343,LBC
01 23 2017 slice 2 cell 6,0.0,-17.113428562879562,119.93686868686868,63.2969718426466,-38.06033357977867,0.5999999999999894,58,251.10617411136627,-67.24249844014645,14.32,90.0,1.033902113199964,10.577750288041136,LBC
07 05 2017 slice 2 cell 7,0.0,-17.856542021036148,114.95238095238098,65.34097157418728,-44.05711218714714,0.43999999999999595,92,117.78470826148993,-71.48804307818413,9.080000000000005,229.33333333333331,1.0800515226463505,5.5860541113132145,LBC
04 17 2017 slice 4 cell 2,0.0,-22.930623963475227,91.05191890337775,56.03187717497349,-30.70875070989132,0.6000000000000449,68,134.00499849021435,-76.4842335243523,196.08,190.0,1.0192798081866352,5.300569987178479,LBC
01 14 2017 slice 2 cell 7,0.0,-16.33826270699501,136.07053146483344,78.54348421096802,-42.37649217247963,0.5599999999999911,40,122.42854161560543,-67.23698836296796,18.84000000000001,170.84745762711862,1.0975874973632285,9.894487169348503,LBC
08 31 2017 slice 2 cell 2,5.622994154691696,-6.844993680715561,118.95882662457251,74.07058030366898,-51.71363055706024,0.47999999999992493,151,95.34217068552974,-64.48246837079525,565.9200000000001,117.0,1.1135643158624315,6.5323936942719385,LBC
11 01 2016 slice 2 cell 2,0.0,-11.97153702378273,106.02774172615183,76.99625194072723,-39.810072630643845,0.5600000000000049,72,160.78850638866425,-61.54080001890658,569.6800000000001,111.24999999999999,1.0618482887051026,8.059175084496395,LBC
10 19 2016 slice 4 cell 4,0.0,-19.687499850988388,113.77172983756034,88.09375017881393,-42.9374985396862,0.3999999999999837,114,196.77025151252747,-74.9923074477911,25.400000000000006,98.0,1.0350262869790425,6.908091496793404,LBC
07 19 2017 slice 1 cell 2,0.0,-23.533105850219727,121.17908407382097,60.82010082900524,-39.33318704366684,0.43999999999999595,108,106.97461874783032,-67.55818583190441,11.800000000000004,188.28571428571428,1.1482524946708683,7.023394696096475,LBC
07 19 2017 slice 4 cell 2,0.0,-16.48535579442978,107.24120769741207,64.68182802200317,-38.69537264108658,0.5200000000000066,103,99.58202047646054,-72.43867860168218,17.600000000000005,240.0,1.0621250479718303,5.573629090227908,LBC
